transaction_id,transaction_amount,transaction_type,account_id,timestamp,location,is_suspicious
e8646863-8a8b-4ebc-8eaf-ea87fa5ba642,46873,withdrawal,60450219,2024-07-18 04:12:41,Saint Lucia,0
ba00288a-03ef-42ed-8626-1f777182f611,67923,withdrawal,25288767,2024-06-03 06:40:06,Nigeria,1
b6583ed6-01d9-42a9-9130-3c6bd22f9174,45940,withdrawal,67169982,2024-09-17 08:16:13,Papua New Guinea,0
3ed77475-a9c3-4a3a-bc3f-18a7fbd42faf,37993,deposit,71925545,2024-06-25 06:02:34,Papua New Guinea,1
2b96d567-1d41-4b6f-8c64-fc98e4eb6230,12070,deposit,75749190,2024-03-30 12:12:13,Congo,1
22f59467-f373-4f38-83c3-7ad9b0e3df74,41304,deposit,29784022,2024-09-20 19:27:24,Mozambique,0
88e7a11b-823f-4063-be65-7f824b4c0ccb,98600,deposit,21803806,2024-01-22 05:07:00,Argentina,1
ef0a7eb3-a1f9-4985-9738-0e55179aeb3c,4495,withdrawal,79735332,2024-09-15 21:19:37,Benin,1
08c5100a-f473-4662-bd13-ecab9ef156aa,68523,deposit,66381553,2024-08-21 22:27:17,Bosnia and Herzegovina,0
3a9e57db-fb2e-476e-a8c4-393187762de0,94370,withdrawal,4639436,2024-05-20 20:21:00,Cape Verde,1
525a867b-f8b1-465f-b974-1ce48bb5a2d3,1738,deposit,43382860,2024-03-30 11:37:25,United Arab Emirates,1
6229f09a-f7dc-4080-a349-51029277b236,92169,withdrawal,88805922,2024-05-23 07:31:42,Somalia,0
5baa783b-2c6d-480a-a32e-bf2c7eaa72de,24155,withdrawal,61030449,2024-09-20 17:04:15,British Indian Ocean Territory (Chagos Archipelago),0
4cff8c01-2935-4200-a3c9-c0f6afca3e61,65307,deposit,97963358,2024-09-23 03:12:53,Congo,1
d4e7438e-6afc-49c3-9dd9-98f6fde77237,98836,deposit,590685,2024-08-08 04:31:19,Bermuda,0
d5cae998-54ad-429d-8b79-b12b9b85818e,49769,deposit,5737552,2024-05-06 01:17:01,Singapore,0
abfcdede-d1ab-4fce-b4a7-05d8d5229bb5,44286,withdrawal,94970316,2024-03-23 10:25:25,United States Virgin Islands,0
6c436e0a-4217-40a2-a208-030259817c10,98432,withdrawal,36044213,2024-02-18 23:34:41,Saint Martin,0
2e25c96d-2c04-4b77-ae6a-87b6e9506fad,88396,deposit,28889265,2024-02-14 09:12:44,San Marino,0
d5e9b13f-0e0f-477d-9b8a-95c460568211,79623,withdrawal,66131088,2024-06-10 14:14:32,Angola,1
4aaaab72-968e-4efd-a25e-0a5fd1cf2025,67598,deposit,48058338,2024-02-14 05:06:54,Comoros,0
b21aa1ea-7bc5-427f-9bed-43b4bac5c644,70558,deposit,76413827,2024-03-24 12:10:19,Taiwan,1
3ccda09f-932c-4a2e-b24c-ca6e0cf87705,40567,withdrawal,74545939,2024-05-02 15:15:57,Niger,0
30e3338e-2653-4bd2-8203-b39686094c50,83074,deposit,45926005,2024-02-08 04:40:10,Czech Republic,1
7df9a507-8029-4f99-872a-ed3947e05917,10865,deposit,24346228,2024-08-26 16:31:54,Holy See (Vatican City State),0
3d9298b9-2a6f-487b-be9f-37f36727b798,38456,deposit,91120385,2024-05-16 04:05:38,Saint Pierre and Miquelon,0
a5f7c81a-2546-477d-a13a-c5d9e1e636ae,42416,deposit,70784808,2024-07-01 08:10:34,Syrian Arab Republic,1
3109ebb4-609f-4c22-a461-c0a2fde112d2,70156,deposit,51022499,2024-05-27 20:32:29,Niue,1
b7718096-a281-4355-b428-65e337dc6693,5651,withdrawal,4540876,2024-02-05 06:08:40,Zimbabwe,0
db5308fa-4d7f-48f2-ab32-4918ce089e6f,58340,withdrawal,9192334,2024-09-14 02:55:27,Barbados,1
cef01467-8602-40e2-84ab-8d264075e1f7,37485,withdrawal,18027685,2024-05-03 20:21:32,Zambia,0
330f6399-7f50-4f14-9e90-457ef92baf7c,84184,withdrawal,15040275,2024-05-11 16:03:29,Ethiopia,0
01571195-0a54-4c96-92b7-4f2c00f1addf,47144,withdrawal,57364656,2024-05-01 14:22:43,Guatemala,1
65cf2e38-b4f3-4a8b-b457-40b753876c82,72933,deposit,15435674,2024-09-22 18:46:47,Mexico,0
24262440-f578-46e5-a2b4-2dd4becf5f8f,7300,withdrawal,39404654,2024-09-06 15:08:06,Trinidad and Tobago,0
3796c099-9492-4c89-9f27-4532cf272103,41569,withdrawal,18007246,2024-04-13 06:50:31,Kyrgyz Republic,0
569e07ab-e07d-4493-9794-095b725a355b,83155,deposit,63266967,2024-03-11 01:50:46,Guernsey,1
d5f4e636-3149-4abc-9628-1b4dd8c19d6c,27055,withdrawal,16606022,2024-08-10 15:48:46,Oman,0
0ec63341-3445-4f8e-acf3-fe90bba65945,96107,deposit,93175577,2024-03-26 11:45:07,Latvia,0
46cb515e-d4ec-4d3e-b7b2-ccf07e23acab,11430,withdrawal,65717622,2024-08-25 10:40:17,Swaziland,1
0f334603-68d0-49be-a7fb-aad950483ff3,70009,deposit,51888810,2024-03-22 02:39:47,Isle of Man,0
72fad45d-d691-4b64-bccc-d8de1bf95c4a,6252,deposit,6859250,2024-01-07 12:23:38,Iceland,1
2c337746-d6e3-4709-96c6-a222967b7197,84761,deposit,37622993,2024-07-19 14:11:09,Venezuela,1
6739a5a8-2494-4a3e-948c-d6e453d5548b,33955,withdrawal,80049334,2024-07-19 23:37:11,Lebanon,0
81a76a2b-1849-4674-aa2c-3ca52bfec6d5,58896,withdrawal,79174388,2024-01-13 17:08:21,Senegal,0
